change_article,change_id,new_article,treaty_nr,part_nr,title_nr,chapter_nr,section_nr,article_nr,new_id,remarks
Article 202,3.5.2.X.X.202,Article 271,3,5,2,X,X,271,NA,NA
Article 203,3.5.2.X.X.203,Article 272,3,5,2,X,X,272,NA,NA
Article 204,3.5.2.X.X.204,Article 273,3,5,2,X,X,273,NA,NA
Article 205,3.5.2.X.X.205,Article 274,3,5,2,X,X,274,NA,NA
Article 205a,3.5.2.X.X.206,Article 275,3,5,2,X,X,275,NA,NA
Article 206,NA,Article 276,3,5,2,X,X,276,NA,NA
Article 207,3.5.2.X.X.207,Article 277,3,5,2,X,X,277,NA,NA
Article 208,3.5.2.X.X.208,Article 278,3,5,2,X,X,278,NA,NA
Article 209,3.5.2.X.X.209,Article 279,3,5,2,X,X,279,NA,NA
Article 209a,3.5.2.X.X.209a,Article 280,3,5,2,X,X,280,NA,NA
Article 210,3.6.X.X.X.210,Article 281,3,6,X,X,X,281,NA,NA
Article 211,3.6.X.X.X.211,Article 282,3,6,X,X,X,282,NA,NA
Article 212,3.6.X.X.X.212,Article 283,3,6,X,X,X,283,NA,New Article introduced by the Treaty of Amsterdam
Article 213,3.6.X.X.X.213,Article 284,3,6,X,X,X,284,NA,NA
Article 213a,3.6.X.X.X.213a,Article 285,3,6,X,X,X,285,NA,New Article introduced by the Treaty of Amsterdam
Article 213b,3.6.X.X.X.213b,Article 286,3,6,X,X,X,286,NA,New Article introduced by the Treaty of Amsterdam
Article 214,3.6.X.X.X.214,Article 287,3,6,X,X,X,287,NA,NA
Article 215,3.6.X.X.X.215,Article 288,3,6,X,X,X,288,NA,NA
Article 216,3.6.X.X.X.216,Article 289,3,6,X,X,X,289,NA,NA
Article 217,3.6.X.X.X.217,Article 290,3,6,X,X,X,290,NA,NA
Article 218,3.6.X.X.X.218,Article 291,3,6,X,X,X,291,NA,New Article introduced by the Treaty of Amsterdam
Article 219,3.6.X.X.X.219,Article 292,3,6,X,X,X,292,NA,NA
Article 220,3.6.X.X.X.220,Article 293,3,6,X,X,X,293,NA,NA
Article 221,3.6.X.X.X.221,Article 294,3,6,X,X,X,294,NA,NA
Article 222,3.6.X.X.X.222,Article 295,3,6,X,X,X,295,NA,NA
Article 223,3.6.X.X.X.223,Article 296,3,6,X,X,X,296,NA,NA
Article 224,3.6.X.X.X.224,Article 297,3,6,X,X,X,297,NA,NA
Article 225,3.6.X.X.X.225,Article 298,3,6,X,X,X,298,NA,NA
Article 227,3.6.X.X.X.227,Article 299,3,6,X,X,X,299,NA,NA
Article 228,3.6.X.X.X.228,Article 300,3,6,X,X,X,300,NA,NA
Article 228a,3.6.X.X.X.228a,Article 301,3,6,X,X,X,301,NA,NA
Article 229,3.6.X.X.X.229,Article 302,3,6,X,X,X,302,NA,NA
Article 230,3.6.X.X.X.230,Article 303,3,6,X,X,X,303,NA,NA
Article 231,3.6.X.X.X.231,Article 304,3,6,X,X,X,304,NA,NA
Article 232,3.6.X.X.X.232,Article 305,3,6,X,X,X,305,NA,NA
Article 233,3.6.X.X.X.233,Article 306,3,6,X,X,X,306,NA,NA
Article 234,3.6.X.X.X.234,Article 307,3,6,X,X,X,307,NA,NA
Article 235,3.6.X.X.X.235,Article 308,3,6,X,X,X,308,NA,NA
Article 236,3.6.X.X.X.236,Article 309,3,6,X,X,X,309,NA,New Article introduced by the Treaty of Amsterdam
Article 238,3.6.X.X.X.238,Article 310,3,6,X,X,X,310,NA,NA
Article 239,3.6.X.X.X.239,Article 311,3,6,X,X,X,311,NA,NA
Article 240,3.6.X.X.X.240,Article 312,3,6,X,X,X,312,NA,NA
Article 247,3.6.X.X.X.247,Article 313,3,X,X,X,X,313,NA,NA
Article 248,3.6.X.X.X.248,Article 314,3,X,X,X,X,314,NA,NA
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
